Statistical profiling result from isolate-0x103001e00-v8.log, (1096 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.7%          /usr/lib/system/libsystem_malloc.dylib
      7    0.6%          /usr/lib/system/libsystem_pthread.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     23    2.1%    2.1%  Builtin: InterpreterEntryTrampoline
     10    0.9%    0.9%  Builtin: StoreIC
     10    0.9%    0.9%  Builtin: KeyedLoadIC
      8    0.7%    0.7%  Builtin: CallFunction_ReceiverIsAny
      6    0.5%    0.6%  LazyCompile: ~nextTick internal/process/next_tick.js:109:18
      6    0.5%    0.6%  Builtin: Call_ReceiverIsAny
      4    0.4%    0.4%  LazyCompile: ~removeListener events.js:314:28
      4    0.4%    0.4%  LazyCompile: ~end _http_outgoing.js:686:45
      4    0.4%    0.4%  Builtin: KeyedStoreIC_Megamorphic
      4    0.4%    0.4%  Builtin: KeyedLoadIC_PolymorphicName
      3    0.3%    0.3%  LazyCompile: ~getHeader _http_outgoing.js:495:57
      3    0.3%    0.3%  LazyCompile: ~crypto.pbkdf2 /Users/z002j8f/Desktop/Projects/nodeprofiler/app.js:51:73
      3    0.3%    0.3%  LazyCompile: ~cleanup /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/ee-first/index.js:58:19
      3    0.3%    0.3%  LazyCompile: ~_writeRaw _http_outgoing.js:243:19
      3    0.3%    0.3%  LazyCompile: ~ReadableState _stream_readable.js:70:23
      3    0.3%    0.3%  LazyCompile: ~Readable.removeListener _stream_readable.js:858:45
      3    0.3%    0.3%  Builtin: RegExpReplace
      3    0.3%    0.3%  Builtin: LoadIC_Noninlined
      3    0.3%    0.3%  Builtin: KeyedLoadIC_Megamorphic
      2    0.2%    0.2%  LazyCompile: ~wrap.ondone internal/crypto/pbkdf2.js:35:17
      2    0.2%    0.2%  LazyCompile: ~wetag /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/utils.js:52:31
      2    0.2%    0.2%  LazyCompile: ~updateOutgoingData _http_server.js:402:28
      2    0.2%    0.2%  LazyCompile: ~remove internal/linkedlist.js:15:16
      2    0.2%    0.2%  LazyCompile: ~module.exports /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/qs/lib/parse.js:132:27
      2    0.2%    0.2%  LazyCompile: ~insert timers.js:195:16
      2    0.2%    0.2%  LazyCompile: ~fromString buffer.js:325:20
      2    0.2%    0.2%  LazyCompile: ~emitAfterScript internal/async_hooks.js:359:25
      2    0.2%    0.2%  LazyCompile: ~destroyHooksExist internal/async_hooks.js:316:27
      2    0.2%    0.2%  LazyCompile: ~contentType /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/response.js:547:32
      2    0.2%    0.2%  LazyCompile: ~byteLength buffer.js:500:20
      2    0.2%    0.2%  LazyCompile: ~append internal/linkedlist.js:29:16
      2    0.2%    0.2%  LazyCompile: ~_storeHeader _http_outgoing.js:285:22
      2    0.2%    0.2%  LazyCompile: ~_implicitHeader _http_server.js:198:68
      2    0.2%    0.2%  LazyCompile: ~Writable.write _stream_writable.js:273:36
      2    0.2%    0.2%  LazyCompile: ~Readable.removeAllListeners _stream_readable.js:874:49
      2    0.2%    0.2%  LazyCompile: ~Readable.on _stream_readable.js:828:33
      2    0.2%    0.2%  Builtin: KeyedStoreIC
      2    0.2%    0.2%  Builtin: GetProperty
      2    0.2%    0.2%  Builtin: FastFunctionPrototypeBind
      2    0.2%    0.2%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
      2    0.2%    0.2%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      2    0.2%    0.2%  Builtin: ArrayConstructorImpl
      2    0.2%    0.2%  Builtin: ArgumentsAdaptorTrampoline
      1    0.1%    0.1%  Stub: StoreFastElementStub
      1    0.1%    0.1%  Stub: JSEntryStub
      1    0.1%    0.1%  RegExp: ;\s*charset\s*=
      1    0.1%    0.1%  LazyCompile: ~writevGeneric internal/stream_base_commons.js:91:23
      1    0.1%    0.1%  LazyCompile: ~write_ _http_outgoing.js:582:16
      1    0.1%    0.1%  LazyCompile: ~writeHead _http_server.js:203:19
      1    0.1%    0.1%  LazyCompile: ~writeHead /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/on-headers/index.js:28:29
      1    0.1%    0.1%  LazyCompile: ~writeGeneric internal/stream_base_commons.js:117:22
      1    0.1%    0.1%  LazyCompile: ~validateAsyncId internal/async_hooks.js:122:25
      1    0.1%    0.1%  LazyCompile: ~urlencodedParser /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/body-parser/lib/types/urlencoded.js:79:36
      1    0.1%    0.1%  LazyCompile: ~updateChildren internal/modules/cjs/loader.js:99:24
      1    0.1%    0.1%  LazyCompile: ~unenroll timers.js:367:18
      1    0.1%    0.1%  LazyCompile: ~storeHeader _http_outgoing.js:409:21
      1    0.1%    0.1%  LazyCompile: ~spliceOne internal/util.js:335:19
      1    0.1%    0.1%  LazyCompile: ~socketOnWrap _http_server.js:728:22
      1    0.1%    0.1%  LazyCompile: ~slowCases internal/util.js:112:19
      1    0.1%    0.1%  LazyCompile: ~setUnrefTimeout internal/timers.js:105:25
      1    0.1%    0.1%  LazyCompile: ~setHeader _http_outgoing.js:480:57
      1    0.1%    0.1%  LazyCompile: ~setCharset /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/utils.js:262:41
      1    0.1%    0.1%  LazyCompile: ~send /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/response.js:100:25
      1    0.1%    0.1%  LazyCompile: ~resetHeadersTimeoutOnReqEnd _http_server.js:741:37
      1    0.1%    0.1%  LazyCompile: ~resOnFinish _http_server.js:566:21
      1    0.1%    0.1%  LazyCompile: ~removeAllListeners events.js:370:32
      1    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1395:22
      1    0.1%    0.1%  LazyCompile: ~processTicksAndRejections internal/process/next_tick.js:54:35
      1    0.1%    0.1%  LazyCompile: ~pbkdf2 internal/crypto/pbkdf2.js:19:16
      1    0.1%    0.1%  LazyCompile: ~parseValues /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/qs/lib/parse.js:17:39
      1    0.1%    0.1%  LazyCompile: ~onwrite _stream_writable.js:450:17
      1    0.1%    0.1%  LazyCompile: ~onevent /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/ee-first/index.js:81:26
      1    0.1%    0.1%  LazyCompile: ~onParserExecuteCommon _http_server.js:519:31
      1    0.1%    0.1%  LazyCompile: ~onParserExecute _http_server.js:482:25
